item_code,description,unit,labor,material,equipment,sub,source,quote_date,valid_until,location,notes
09-gwb-ceiling,Gypsum board ceiling framed and finished,SF,0,0,0,11.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-carpet-tile,Carpet tile,SF,0,0,0,5.75,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-lvt-flooring,Luxury vinyl tile,SF,0,0,0,6.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-porcelain-tile-floor,Porcelain tile floor with thinset,SF,0,0,0,16.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-tile-wainscot,Porcelain tile wainscot,SF,0,0,0,18.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-rubber-base,4in rubber base,LF,0,0,0,3.10,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-tile-base,6in tile base,LF,0,0,0,9.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-paint-gwb,Paint gypsum board primer plus two coats,SF,0,0,0,1.35,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-paint-cmu,Block filler plus two coats on CMU,SF,0,0,0,2.10,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-paint-door-frame,Paint HM door and frame,EA,0,0,0,95.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-epoxy-floor-coating,100% solids epoxy floor coating 20 mils (alternate),SF,0,0,0,4.25,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
10-toilet-accessories-per-fixture,Toilet accessories and partitions per plumbing fixture,EA,0,0,0,650.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
10-fire-extinguisher-cabinet,Fire extinguisher and cabinet,EA,0,0,0,420.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
10-signage-allowance,Signage allowance (per spec 01 21 00),LS,0,0,0,25000.00,spec-allowance,2026-09-12,,project,carried verbatim from Division 01
21-sprinkler-design-build,Wet-pipe sprinkler design-build per head (incl. riser and FDC share),EA,0,0,0,285.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] FP sub
22-water-closet,Water closet floor mount 1.28 gpf with rough-in,EA,0,0,0,1650.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] plumbing sub
22-urinal,Urinal wall hung with rough-in,EA,0,0,0,1850.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
22-lavatory,Lavatory wall hung with sensor faucet and rough-in,EA,0,0,0,1750.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
22-sink,Break room sink double bowl with rough-in,EA,0,0,0,1450.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
22-mop-sink,Mop sink with rough-in,EA,0,0,0,1600.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
22-water-cooler,Electric water cooler bi-level with rough-in,EA,0,0,0,3200.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
22-water-heater-40gal,Electric water heater 40 gal with connections,EA,0,0,0,2400.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
22-hose-bibb,Hose bibb with backflow,EA,0,0,0,420.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
22-pipe-domestic-per-sf,Domestic water and sanitary piping per SF of office (distribution),SF,0,0,0,3.10,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] plumbing sub
22-gas-piping,Gas piping to equipment,LF,0,0,0,32.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
23-rtu-7-5-ton,Packaged rooftop unit 7.5 ton with curb set and connected,EA,0,0,0,19500.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] mechanical sub
23-unit-heater-gas,Gas unit heater 150 MBH hung and vented,EA,0,0,0,3900.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
23-exhaust-fan,Ceiling exhaust fan with duct and cap,EA,0,0,0,1150.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
23-diffuser-grille,Supply diffuser or return grille 24x24 with flex,EA,0,0,0,385.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
23-ductwork,Galvanized ductwork fabricated and installed (with fittings),LB,0,0,0,9.80,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
23-controls-thermostats,Programmable thermostats and controls (per RTU),EA,0,0,0,1800.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
23-tab,Testing adjusting and balancing per air outlet,EA,0,0,0,95.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-service-400a-mdp,400A 480Y/277V service entrance and main distribution panel,EA,0,0,0,32000.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] electrical sub; long lead
26-transformer-45kva,45 kVA dry-type transformer,EA,0,0,0,8500.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-panelboard,Panelboard 30-42 circuit with breakers,EA,0,0,0,7200.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-feeders-per-panel,Feeder conduit and wire per panel or transformer,EA,0,0,0,4200.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-troffer-led-2x4,2x4 LED troffer with occupancy control share,EA,0,0,0,385.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-high-bay-led,LED high bay,EA,0,0,0,620.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-wall-pack-led,LED exterior wall pack with photocell share,EA,0,0,0,540.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-exit-sign,LED exit sign with battery,EA,0,0,0,260.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-receptacle-duplex,Duplex receptacle with branch circuit share,EA,0,0,0,215.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
26-mechanical-connection,Power connection to mechanical or plumbing equipment,EA,0,0,0,650.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
27-data-outlet-raceway,Data outlet box and raceway (cabling by owner),EA,0,0,0,145.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
28-facp,Addressable fire alarm control panel with monitoring connection,EA,0,0,0,6500.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
28-fa-device,Fire alarm device (pull station horn/strobe detector) installed and wired,EA,0,0,0,420.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-project-manager,Project manager (burdened monthly),MO,14500.00,0,0,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-superintendent,Superintendent (burdened monthly),MO,15500.00,0,0,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-project-engineer,Project engineer (burdened monthly),MO,9200.00,0,0,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-safety-share,Safety manager shared (monthly),MO,2800.00,0,0,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-job-trailer,Job trailer 12x40 rental (monthly),MO,0,0,1250.00,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-temp-fence,Temporary chain-link fence (per LF installed for duration),LF,0,0,0,9.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-temp-toilets,Portable toilets (each per month),MO,0,0,0,210.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-dumpsters,Dumpster pulls (each),EA,0,0,0,650.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-temp-power-water,Temporary power and water incl. utility charges (monthly),MO,0,0,0,1400.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-cleaning,Progress and final cleaning per SF,SF,0,0,0,0.45,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-surveying-layout,Surveying and layout (lump sum),LS,0,0,0,9500.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
01-concrete-testing,Contractor-paid concrete testing per set,EA,0,0,0,180.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
